Key,Russian,English
HUD_Interaction_HintMessage_Action_CallElevator,Вызывать лифт,Call elevator
HUD_Interaction_HintMessage_Action_Close,Закрыть,Close
HUD_Interaction_HintMessage_Action_Drink,Выпить,Drink
HUD_Interaction_HintMessage_Action_Drop,Отпустить,Drop
HUD_Interaction_HintMessage_Action_Eat,Съесть,Eat
HUD_Interaction_HintMessage_Action_GlanceAt,Взглянуть на,Glance at
HUD_Interaction_HintMessage_Action_GoToScene,Перейти на сцену,Go to scene
HUD_Interaction_HintMessage_Action_Hack,Взломать,Hack
HUD_Interaction_HintMessage_Action_Lockpick,Вскрыть,Lockpick
HUD_Interaction_HintMessage_Action_Loot,Взять,Take
HUD_Interaction_HintMessage_Action_Open,Открыть,Open
HUD_Interaction_HintMessage_Action_Interact,Взаимодействовать с,Interact with
HUD_Interaction_HintMessage_Action_Pickup,Поднять,Pick up
HUD_Interaction_HintMessage_Action_Press,Нажать,Press
HUD_Interaction_HintMessage_Action_Purchase,Купить,Purchase
HUD_Interaction_HintMessage_Action_Read,Читать,Read
HUD_Interaction_HintMessage_Action_Rotate,Повернуть,Rotate
HUD_Interaction_HintMessage_Action_SendElevatorDown,Отправить лифт вниз,Send elevator down
HUD_Interaction_HintMessage_Action_SendElevatorUp,Отправить лифт вверх,Send elevator up
HUD_Interaction_HintMessage_Action_Strangle,Задушить,Strangle
HUD_Interaction_HintMessage_Action_Talk,Поговорить с,Talk to
HUD_Interaction_HintMessage_Action_Throw,Кинуть,Throw
HUD_Interaction_HintMessage_Action_TurnOff,Выключить,Turn off
HUD_Interaction_HintMessage_Action_TurnOn,Включить,Turn on
HUD_Interaction_HintMessage_Action_Unlock,Отпереть,Unlock
HUD_Interaction_HintMessage_Fail_CantTalk,С вами сейчас не может разговаривать,Right now you can't talk to
HUD_Interaction_HintMessage_Fail_LockedKey,Заперто на ключ,Key locked
HUD_Interaction_HintMessage_Fail_Locked,Заперто,Is locked
HUD_Interaction_HintMessage_Fail_Max,Нельзя взять больше,Max
HUD_Interaction_HintMessage_Fail_Money,Недостаточно денег,Not enough money
HUD_Interaction_HintMessage_Fail_ElectroShock,Вас ударило током,You have been Electro Shocked
HUD_Interaction_HintMessage_Fail_OutOfService,Вышло из строя,Out of service
HUD_Interaction_HintMessage_Fail_Wait,Подождите,Please wait
HUD_Interaction_HintMessage_Fail_LockedElectricalPanel,Заблокировано электрической панелью,Blocked by electrical panel
HUD_Interaction_HintMessage_Fail_LockedForever,Не поддается,Won't budge
HUD_Interaction_HintMessage_Fail_WrongCombination,Неправильная комбинация,Wrong combination
HUD_Interaction_HintMessage_Main,Нажмите,Press
InteractionObject_Consumable_Drink_SparklingWater,Газированная вода,Sarkling water
InteractionObject_Consumable_Food_Cake,Торт,Cake
InteractionObject_Consumable_Food_RottenMeat,Гнилое мясо,Rotten meat
InteractionObject_Light_Switch,Переключатель света,Light switch
InteractionObject_Light_Table,Настольная лампа,Table lamp
InteractionObject_Loot_Ammo_12gauge_Box,Коробка с зарядами дроби,Box with 12gauge shots
InteractionObject_Loot_Ammo_9mm_Box,Коробка с патронами 9мм,Box with 9mm bullets
InteractionObject_Loot_HealthShawarma,Шаурма,Shawarma
InteractionObject_Loot_Key_1_Scene_1_Church_ChurchQuartersDoor,Ключ от церковных комнат,Church quarters key
InteractionObject_Loot_Key_2_Scene_1_Street_ChurchYardGate,Ключ от калитки церковного двора,Church yard gate key
InteractionObject_Loot_ManaSyrup,Сироп от кашля Доктор Поппелс,Doctor Poppels cough syrup
InteractionObject_Loot_Valuable_Bond_RussoAmericanCO,Облигация Русско-Американской Компании,Russo-American CO bond
InteractionObject_Loot_Valuable_GoldBar,Золотой слиток,Gold bar
InteractionObject_Loot_Valuable_Money_Ruble1,1 рубль,1 ruble
InteractionObject_Loot_Valuable_Money_Rubles10,10 Рублей,10 rubles
InteractionObject_Loot_Valuable_Money_Rubles100,100 рублей,100 rubles
InteractionObject_Loot_Valuable_Money_Rubles2,2 рубля,2 rubles
InteractionObject_Loot_Valuable_Money_Rubles25,25 рублей,25 rubles
InteractionObject_Loot_Valuable_Money_Rubles5,5 рублей,5 rubles
InteractionObject_Loot_Valuable_Money_Rubles50,50 рублей,50 rubles
InteractionObject_ElectricalPanel,Электрическая панель,Electrical panel
InteractionObject_Loot_Valuable_Stocks_BranobelBank,Акция Бранобель Банка,Branobel Bank stocks
InteractionObject_Loot_Weapon_Eugenic_GenieBreath,Евгеник Дыхание Джина,Eugenic Genie Breath
InteractionObject_Loot_Weapon_Eugenic_TeslaShock,Евгеник Искра Теслы,Eugenic Tesla Shock
InteractionObject_Loot_Weapon_Melee_PoliceBaton,Милицейская дубинка,Police baton
InteractionObject_Loot_Weapon_PlungerCrossbow,Абордажный арбалет,Plunger crossbow
InteractionObject_Loot_Weapon_Ranged_HarmonicaRevolver,Револьвер Гармоника,Harmonica revolver
InteractionObject_Loot_Weapon_Ranged_BergmannBayard,Автопистоль Бергманн-Байард,Bergmann-Bayard Autopistole
InteractionObject_Loot_Weapon_Ranged_SawedOffShotgun,Дробовик-обрез,Sawed off shotgun
InteractionObject_Loot_Weapon_Melee_FirefighterSaw,Пожарная циркулярная пила,Firfighter saw
InteractionObject_Note_Map,Карта,Map
InteractionObject_Note_Newspaper_LiberalHerald,Газета Либеральный Глашатай,Liberal Herald Newspaper
InteractionObject_Openable_Door_DoorWardrobe,Дверь шкафа,Wardrobe door
InteractionObject_Openable_Door_DoorWooden,Деревянная дверь,Wooden door
InteractionObject_Openable_Door_DrawerWardrobe,Ящик шкафа,Wardrobe drawer
InteractionObject_Openable_Door_ElectricalPanel,Дверца электронной панели,Electrical panel door
InteractionObject_Openable_Drawer_Drawer,Ящик,Drawer
InteractionObject_Openable_Sliding_Vent_VentCover,Вентиляционная решетка,Vent cover
InteractionObject_Phonograph,Фонограф,Phonograph
InteractionObject_Pickable_NonThrowable_WoodenCrate,Деревянный ящик,Wooden crate
InteractionObject_Pickable_Throwable_Bottle,Бутылка,Bottle
InteractionObject_Safe_SafeBig,Больший сейф,Big safe
InteractionObject_Safe_SafeMedium,Средний сейф,Medium safe
InteractionObject_Safe_SafeSmall,Маленький сейф,Small safe
InteractionObject_Safe_Section,Секция,Section
InteractionObject_TVbutton_NextChannel,Следующий канал,Next channel
InteractionObject_TVbutton_PowerOFF,Выключить,Turn off
InteractionObject_TVbutton_PowerON,Включить,Turn on
InteractionObject_TVbutton_PrevChannel,Предыдущий канал,Previous channel
InteractionObject_VendingMachine_Ammo,в торговом автомате Подручный Патронщик за,from Handy Ammoman vending machine for
InteractionObject_VendingMachine_Ammo_Reel,Сменить тип патронов для покупки,Change ammo type for purchase
InteractionObject_VendingMachine_Health,в торговом автомате Шаурмазин за,from Shaurmazin vending machine for
InteractionObject_VendingMachine_Mana,в торговом автомате Доктор Поппелс за,from Doctor Poppels vending machine for
IvanPetrovich,Иван Петрович,Ivan Petrovich
Lock_Electronic,Электронный замок,Electronic lock
Lock_Mechanical_Easy,Легкий механический замок,Easy mechanical lock
Lock_Mechanical_Hard,Сложный механический замок,Hard mechanical lock
Lock_Mechanical_Medium,Средний механический замок,Medium mechanical lock
Menu_Interaction_Lock_Electronic,Перестать взламывать замок,Stop picking the lock
